"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in INR, unless specified"
"Definitions:"
"Total sales tax liable:Includes GST or sales tax collected from buyers for product sales, shipping, and gift wrap."
"TCS-CGST:Tax Collected at Source from Central GST"
"TCS-SGST:Tax Collected at Source from State GST"
"TCS-IGST:Tax Collected at Source from Integrated GST"
"TDS (Section 194-O): Tax Deducted at Source under Section 194-O of Income tax Act, 1961"
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, and sales tax collection fees.
"
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"2 Jul 2024 9:29:30 am UTC","22390747912","Order
","406-0768988-3157903","101_bottle_20L","Transparent Plastic Water Dispenser Bottle - 20L Blue, 20 Liter| 20L water bottle can blue (pack of 1)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","NEW DELHI","DELHI","110057","299.00","0","0","0","0","0","0","0","-17.64","0","-10.62","0","270.74"
"2 Jul 2024 9:29:37 am UTC","22390747912","Order
","171-4201992-3429928","101_bottle_20L","Transparent Plastic Water Dispenser Bottle - 20L Blue, 20 Liter| 20L water bottle can blue (pack of 1)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","North Barrackpur","WEST BENGAL","743144","299.00","0","0","0","0","0","0","0","-17.64","0","-10.62","0","270.74"
"2 Jul 2024 9:29:38 am UTC","22390808312","Order
","405-6692783-1266767","101_bottle_20L","Transparent Plastic Water Dispenser Bottle - 20L Blue, 20 Liter| 20L water bottle can blue (pack of 1)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","DHARMSALA","HIMACHAL PRADESH","176215","299.00","0","0","0","0","0","0","0","-17.64","0","-10.62","0","270.74"
"2 Jul 2024 9:29:59 am UTC","22390747912","Order
","408-7552838-4464325","101_bottle_20L","Transparent Plastic Water Dispenser Bottle - 20L Blue, 20 Liter| 20L water bottle can blue (pack of 1)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","NEW DELHI","DELHI","110074","299.00","0","0","0","0","0","0","0","-17.64","0","-10.62","0","270.74"
"3 Jul 2024 11:26:06 am UTC","22572908662","Shipping Services
","402-3671104-5905969","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-70.80","0","-70.80"
"3 Jul 2024 11:26:17 am UTC","22572820122","Shipping Services
","171-1269786-0030736","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-66.08","0","-66.08"
"3 Jul 2024 11:26:32 am UTC","22572908662","Shipping Services
","404-1845776-9225105","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-55.46","0","-55.46"
"3 Jul 2024 11:26:33 am UTC","22572820122","Shipping Services
","408-6257285-1941908","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-90.86","0","-90.86"
"3 Jul 2024 11:26:33 am UTC","22572820122","Shipping Services
","171-8739906-5448323","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-90.86","0","-90.86"
"3 Jul 2024 11:41:33 am UTC","22572820122","Order
","171-8739906-5448323","white_111","Perfect Mini Water Bottle/flask |Portable Travel Companion Water Bottle |Glass inner liner with Plastic Shell Bottles For School, Gym, Home, Office,Bo","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","RAIPUR","CHHATTISGARH","492001","211.00","0","0","0","0","0","0","0","-12.45","0","-4.72","0","193.83"
